,year,state_orig,state_dest,sctg2,sctg2_description,value,state_orig_gdp,state_dest_gdp,name_state_orig,name_state_dest,orig_per_capita_2012,orig_per_capita_2017,orig_pop_2012,orig_pop_2017,dest_per_capita_2012,dest_per_capita_2017,dest_pop_2012,dest_pop_2017
30,2012,CA,OR,3,"Agricultural products (excl. feed, grains, and forage)",314.87,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
31,2012,CA,OR,4,"Animal feed, eggs, honey, other products of animal origin",62.68,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
32,2012,CA,OR,5,"Meat, poultry, fish, seafood, and preparations",125.83,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
33,2012,CA,OR,6,Milled grain products and preparations and bakery products,304.6,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
34,2012,CA,OR,7,Other prepared foodstuffs and preparations,1421.83,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
35,2017,CA,OR,1,Animals & fish (live),3.62,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
36,2017,CA,OR,2,Cereal grains and seed,3.68,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
37,2017,CA,OR,3,"Agricultural products (excl. feed, grains, and forage)",302.61,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
38,2017,CA,OR,4,"Animal feed, eggs, honey, other products of animal origin",68.96,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
39,2017,CA,OR,5,"Meat, poultry, fish, seafood, and preparations",140.53,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
40,2017,CA,OR,6,Milled grain products and preparations and bakery products,324.03,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
41,2017,CA,OR,7,Other prepared foodstuffs and preparations,1508.4,39017.4,3701.88,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
42,2012,MO,OR,1,Animals & fish (live),0.09,3341.06,3690.43,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
43,2012,MO,OR,4,"Animal feed, eggs, honey, other products of animal origin",36.19,3341.06,3690.43,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
44,2012,MO,OR,5,"Meat, poultry, fish, seafood, and preparations",30.32,3341.06,3690.43,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
45,2012,MO,OR,6,Milled grain products and preparations and bakery products,0.3,3341.06,3690.43,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
46,2012,MO,OR,7,Other prepared foodstuffs and preparations,19.2,3341.06,3690.43,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
47,2017,MO,OR,1,Animals & fish (live),0.1,3330.06,3701.88,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
48,2017,MO,OR,4,"Animal feed, eggs, honey, other products of animal origin",39.81,3330.06,3701.88,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
49,2017,MO,OR,5,"Meat, poultry, fish, seafood, and preparations",31.6,3330.06,3701.88,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
50,2017,MO,OR,6,Milled grain products and preparations and bakery products,0.3,3330.06,3701.88,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
51,2017,MO,OR,7,Other prepared foodstuffs and preparations,19.0,3330.06,3701.88,Missouri,Oregon,41941,43036,5830600,5921300,49461,51312,3825500,4063000
52,2012,MT,OR,2,Cereal grains and seed,11.03,1834.38,3690.43,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
53,2012,MT,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.73,1834.38,3690.43,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
54,2012,MT,OR,5,"Meat, poultry, fish, seafood, and preparations",4.44,1834.38,3690.43,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
55,2012,MT,OR,6,Milled grain products and preparations and bakery products,32.9,1834.38,3690.43,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
56,2012,MT,OR,7,Other prepared foodstuffs and preparations,23.0,1834.38,3690.43,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
57,2017,MT,OR,2,Cereal grains and seed,7.31,1393.88,3701.88,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
58,2017,MT,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.8,1393.88,3701.88,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
59,2017,MT,OR,5,"Meat, poultry, fish, seafood, and preparations",4.8,1393.88,3701.88,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
60,2017,MT,OR,6,Milled grain products and preparations and bakery products,33.91,1393.88,3701.88,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
61,2017,MT,OR,7,Other prepared foodstuffs and preparations,23.64,1393.88,3701.88,Montana,Oregon,38601,39833,978700,1022600,49461,51312,3825500,4063000
62,2012,KS,OR,2,Cereal grains and seed,100.36,5402.17,3690.43,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
63,2012,KS,OR,4,"Animal feed, eggs, honey, other products of animal origin",65.92,5402.17,3690.43,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
64,2012,KS,OR,5,"Meat, poultry, fish, seafood, and preparations",132.13,5402.17,3690.43,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
65,2012,KS,OR,6,Milled grain products and preparations and bakery products,2.96,5402.17,3690.43,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
66,2012,KS,OR,7,Other prepared foodstuffs and preparations,2.02,5402.17,3690.43,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
67,2017,KS,OR,2,Cereal grains and seed,144.06,4003.23,3701.88,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
68,2017,KS,OR,4,"Animal feed, eggs, honey, other products of animal origin",72.53,4003.23,3701.88,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
69,2017,KS,OR,5,"Meat, poultry, fish, seafood, and preparations",140.97,4003.23,3701.88,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
70,2017,KS,OR,6,Milled grain products and preparations and bakery products,3.01,4003.23,3701.88,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
71,2017,KS,OR,7,Other prepared foodstuffs and preparations,2.04,4003.23,3701.88,Kansas,Oregon,45513,47435,2787500,2817600,49461,51312,3825500,4063000
72,2012,MD,OR,7,Other prepared foodstuffs and preparations,2.0,1043.96,3690.43,Maryland,Oregon,53999,56375,5722700,5892900,49461,51312,3825500,4063000
73,2017,MD,OR,7,Other prepared foodstuffs and preparations,2.1,990.99,3701.88,Maryland,Oregon,53999,56375,5722700,5892900,49461,51312,3825500,4063000
74,2012,GA,OR,3,"Agricultural products (excl. feed, grains, and forage)",1.09,4205.78,3690.43,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
75,2012,GA,OR,5,"Meat, poultry, fish, seafood, and preparations",5.53,4205.78,3690.43,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
76,2012,GA,OR,7,Other prepared foodstuffs and preparations,4.61,4205.78,3690.43,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
77,2017,GA,OR,3,"Agricultural products (excl. feed, grains, and forage)",1.08,4075.19,3701.88,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
78,2017,GA,OR,5,"Meat, poultry, fish, seafood, and preparations",6.01,4075.19,3701.88,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
79,2017,GA,OR,7,Other prepared foodstuffs and preparations,4.76,4075.19,3701.88,Georgia,Oregon,42206,45925,9616400,10121400,49461,51312,3825500,4063000
80,2012,KY,OR,3,"Agricultural products (excl. feed, grains, and forage)",6.0,2112.13,3690.43,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
81,2012,KY,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.14,2112.13,3690.43,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
82,2012,KY,OR,6,Milled grain products and preparations and bakery products,0.36,2112.13,3690.43,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
83,2012,KY,OR,7,Other prepared foodstuffs and preparations,6.96,2112.13,3690.43,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
84,2017,KY,OR,3,"Agricultural products (excl. feed, grains, and forage)",8.99,2946.38,3701.88,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
85,2017,KY,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.15,2946.38,3701.88,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
86,2017,KY,OR,6,Milled grain products and preparations and bakery products,0.37,2946.38,3701.88,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
87,2017,KY,OR,7,Other prepared foodstuffs and preparations,7.13,2946.38,3701.88,Kentucky,Oregon,38062,39277,4235100,4307100,49461,51312,3825500,4063000
88,2012,MA,OR,4,"Animal feed, eggs, honey, other products of animal origin",3.56,1009.57,3690.43,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
89,2012,MA,OR,5,"Meat, poultry, fish, seafood, and preparations",2.99,1009.57,3690.43,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
90,2012,MA,OR,7,Other prepared foodstuffs and preparations,10.97,1009.57,3690.43,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
91,2017,MA,OR,4,"Animal feed, eggs, honey, other products of animal origin",3.91,738.38,3701.88,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
92,2017,MA,OR,5,"Meat, poultry, fish, seafood, and preparations",3.2,738.38,3701.88,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
93,2017,MA,OR,7,Other prepared foodstuffs and preparations,11.17,738.38,3701.88,Massachusetts,Oregon,62441,66500,6410600,6620600,49461,51312,3825500,4063000
94,2012,PA,OR,4,"Animal feed, eggs, honey, other products of animal origin",3.14,3704.98,3690.43,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
95,2012,PA,OR,6,Milled grain products and preparations and bakery products,5.93,3704.98,3690.43,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
96,2012,PA,OR,7,Other prepared foodstuffs and preparations,35.41,3704.98,3690.43,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
97,2017,PA,OR,4,"Animal feed, eggs, honey, other products of animal origin",3.45,3458.14,3701.88,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
98,2017,PA,OR,6,Milled grain products and preparations and bakery products,5.44,3458.14,3701.88,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
99,2017,PA,OR,7,Other prepared foodstuffs and preparations,32.38,3458.14,3701.88,Pennsylvania,Oregon,47554,51841,12347600,12389100,49461,51312,3825500,4063000
100,2012,NC,OR,5,"Meat, poultry, fish, seafood, and preparations",27.82,4602.34,3690.43,North Carolina,Oregon,42619,44706,9439200,9948800,49461,51312,3825500,4063000
101,2012,NC,OR,7,Other prepared foodstuffs and preparations,0.3,4602.34,3690.43,North Carolina,Oregon,42619,44706,9439200,9948800,49461,51312,3825500,4063000
102,2017,NC,OR,5,"Meat, poultry, fish, seafood, and preparations",30.86,5099.52,3701.88,North Carolina,Oregon,42619,44706,9439200,9948800,49461,51312,3825500,4063000
103,2017,NC,OR,7,Other prepared foodstuffs and preparations,0.31,5099.52,3701.88,North Carolina,Oregon,42619,44706,9439200,9948800,49461,51312,3825500,4063000
104,2012,SC,OR,3,"Agricultural products (excl. feed, grains, and forage)",0.35,1188.08,3690.43,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
105,2012,SC,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.64,1188.08,3690.43,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
106,2012,SC,OR,6,Milled grain products and preparations and bakery products,6.89,1188.08,3690.43,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
107,2012,SC,OR,7,Other prepared foodstuffs and preparations,7.03,1188.08,3690.43,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
108,2017,SC,OR,3,"Agricultural products (excl. feed, grains, and forage)",0.36,1131.6,3701.88,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
109,2017,SC,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.81,1131.6,3701.88,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
110,2017,SC,OR,6,Milled grain products and preparations and bakery products,6.43,1131.6,3701.88,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
111,2017,SC,OR,7,Other prepared foodstuffs and preparations,6.54,1131.6,3701.88,South Carolina,Oregon,35359,37637,4569100,4864600,49461,51312,3825500,4063000
112,2012,TX,OR,3,"Agricultural products (excl. feed, grains, and forage)",16.26,8217.54,3690.43,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
113,2012,TX,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.7,8217.54,3690.43,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
114,2012,TX,OR,5,"Meat, poultry, fish, seafood, and preparations",109.26,8217.54,3690.43,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
115,2012,TX,OR,6,Milled grain products and preparations and bakery products,4.93,8217.54,3690.43,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
116,2012,TX,OR,7,Other prepared foodstuffs and preparations,57.79,8217.54,3690.43,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
117,2017,TX,OR,3,"Agricultural products (excl. feed, grains, and forage)",20.35,9337.93,3701.88,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
118,2017,TX,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.87,9337.93,3701.88,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
119,2017,TX,OR,5,"Meat, poultry, fish, seafood, and preparations",119.32,9337.93,3701.88,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
120,2017,TX,OR,6,Milled grain products and preparations and bakery products,5.13,9337.93,3701.88,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
121,2017,TX,OR,7,Other prepared foodstuffs and preparations,59.95,9337.93,3701.88,Texas,Oregon,50253,53737,25384300,27621300,49461,51312,3825500,4063000
122,2012,MI,OR,3,"Agricultural products (excl. feed, grains, and forage)",31.59,3286.13,3690.43,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
123,2012,MI,OR,6,Milled grain products and preparations and bakery products,2.01,3286.13,3690.43,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
124,2012,MI,OR,7,Other prepared foodstuffs and preparations,28.47,3286.13,3690.43,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
125,2017,MI,OR,3,"Agricultural products (excl. feed, grains, and forage)",30.67,3008.36,3701.88,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
126,2017,MI,OR,6,Milled grain products and preparations and bakery products,2.18,3008.36,3701.88,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
127,2017,MI,OR,7,Other prepared foodstuffs and preparations,30.9,3008.36,3701.88,Michigan,Oregon,40465,44201,9659300,9720300,49461,51312,3825500,4063000
128,2012,OH,OR,3,"Agricultural products (excl. feed, grains, and forage)",0.01,3762.89,3690.43,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
129,2012,OH,OR,6,Milled grain products and preparations and bakery products,14.96,3762.89,3690.43,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
130,2012,OH,OR,7,Other prepared foodstuffs and preparations,40.05,3762.89,3690.43,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
131,2017,OH,OR,3,"Agricultural products (excl. feed, grains, and forage)",0.01,3459.09,3701.88,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
132,2017,OH,OR,6,Milled grain products and preparations and bakery products,15.33,3459.09,3701.88,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
133,2017,OH,OR,7,Other prepared foodstuffs and preparations,40.95,3459.09,3701.88,Ohio,Oregon,44911,48188,11222100,11323500,49461,51312,3825500,4063000
134,2012,VT,OR,7,Other prepared foodstuffs and preparations,21.24,445.75,3690.43,Vermont,Oregon,43099,44831,600700,600200,49461,51312,3825500,4063000
135,2017,VT,OR,7,Other prepared foodstuffs and preparations,21.45,439.0,3701.88,Vermont,Oregon,43099,44831,600700,600200,49461,51312,3825500,4063000
136,2012,ID,OR,1,Animals & fish (live),81.0,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
137,2012,ID,OR,2,Cereal grains and seed,34.5,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
138,2012,ID,OR,3,"Agricultural products (excl. feed, grains, and forage)",75.05,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
139,2012,ID,OR,4,"Animal feed, eggs, honey, other products of animal origin",24.25,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
140,2012,ID,OR,5,"Meat, poultry, fish, seafood, and preparations",69.95,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
141,2012,ID,OR,6,Milled grain products and preparations and bakery products,2.67,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
142,2012,ID,OR,7,Other prepared foodstuffs and preparations,252.59,3444.54,3690.43,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
143,2017,ID,OR,1,Animals & fish (live),83.85,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
144,2017,ID,OR,2,Cereal grains and seed,31.63,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
145,2017,ID,OR,3,"Agricultural products (excl. feed, grains, and forage)",74.87,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
146,2017,ID,OR,4,"Animal feed, eggs, honey, other products of animal origin",26.68,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
147,2017,ID,OR,5,"Meat, poultry, fish, seafood, and preparations",79.03,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
148,2017,ID,OR,6,Milled grain products and preparations and bakery products,2.87,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
149,2017,ID,OR,7,Other prepared foodstuffs and preparations,271.05,3257.79,3701.88,Idaho,Oregon,34121,36441,1562500,1682100,49461,51312,3825500,4063000
150,2012,TN,OR,3,"Agricultural products (excl. feed, grains, and forage)",40.46,1356.58,3690.43,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
151,2012,TN,OR,5,"Meat, poultry, fish, seafood, and preparations",22.66,1356.58,3690.43,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
152,2012,TN,OR,7,Other prepared foodstuffs and preparations,29.28,1356.58,3690.43,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
153,2017,TN,OR,3,"Agricultural products (excl. feed, grains, and forage)",57.96,1247.1,3701.88,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
154,2017,TN,OR,5,"Meat, poultry, fish, seafood, and preparations",22.73,1247.1,3701.88,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
155,2017,TN,OR,7,Other prepared foodstuffs and preparations,27.89,1247.1,3701.88,Tennessee,Oregon,41114,44348,6277400,6538200,49461,51312,3825500,4063000
156,2012,OK,OR,5,"Meat, poultry, fish, seafood, and preparations",18.61,3057.46,3690.43,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
157,2012,OK,OR,6,Milled grain products and preparations and bakery products,14.27,3057.46,3690.43,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
158,2012,OK,OR,7,Other prepared foodstuffs and preparations,0.09,3057.46,3690.43,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
159,2017,OK,OR,5,"Meat, poultry, fish, seafood, and preparations",18.91,2712.81,3701.88,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
160,2017,OK,OR,6,Milled grain products and preparations and bakery products,13.81,2712.81,3701.88,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
161,2017,OK,OR,7,Other prepared foodstuffs and preparations,0.09,2712.81,3701.88,Oklahoma,Oregon,41880,44535,3689500,3803700,49461,51312,3825500,4063000
162,2012,ME,OR,3,"Agricultural products (excl. feed, grains, and forage)",1.07,828.62,3690.43,Maine,Oregon,37727,39521,1292600,1300200,49461,51312,3825500,4063000
163,2012,ME,OR,4,"Animal feed, eggs, honey, other products of animal origin",2.16,828.62,3690.43,Maine,Oregon,37727,39521,1292600,1300200,49461,51312,3825500,4063000
164,2012,ME,OR,7,Other prepared foodstuffs and preparations,1.16,828.62,3690.43,Maine,Oregon,37727,39521,1292600,1300200,49461,51312,3825500,4063000
